kh1,c_over_beta_l
0.017347659915685654,1.6767561492688152
0.022857816889882088,1.4967007182285517
0.02836797386407852,1.3882170333412138
0.033878128975629807,1.3096992462303794
0.03938828408718109,1.2565072265030819
0.044898442924022675,1.21816262193547
0.05040859803557396,1.1897168230259363
0.05591875687241554,1.170337838069178
0.06142890453338623,1.15627205919993
0.06693906337022781,1.146113793717665
0.0724492222070694,1.1387193139905631
0.07795937359333038,1.1333558359963387
0.08346953243017197,1.1293911195261346
0.08897969126701355,1.1266076258474094
0.09448984265327454,1.12450355448268
0.10000000149011612,1.1226627008089185
