kH,c_pinn
2.595000028610229492e+00,2.050687789916992188e+00
2.770363807678222656e+00,2.014628171920776367e+00
2.945727348327636719e+00,1.984007716178894043e+00
3.121090888977050781e+00,1.957855939865112305e+00
3.296454429626464844e+00,1.935613393783569336e+00
3.471818447113037109e+00,1.916682004928588867e+00
3.647181987762451172e+00,1.900548338890075684e+00
3.822545528411865234e+00,1.886772751808166504e+00
3.997909069061279297e+00,1.875032067298889160e+00
4.173272609710693359e+00,1.865015029907226562e+00
4.348636627197265625e+00,1.856468319892883301e+00
4.524000167846679688e+00,1.850353121757507324e+00
