k,c
4.014999866485595703e-01,4.676142089843750000e+03
5.227142572402954102e-01,3.833564941406250000e+03
6.439285278320312500e-01,3.191455078125000000e+03
7.651428580284118652e-01,2.702317871093750000e+03
8.863571286201477051e-01,2.327845214843750000e+03
1.007571458816528320e+00,2.042738769531250000e+03
1.128785729408264160e+00,1.825616699218750000e+03
1.250000000000000000e+00,1.659914550781250000e+03
