k,c
4.014999866485595703e-01,4.677000000000000000e+03
5.227142572402954102e-01,3.832043457031250000e+03
6.439285278320312500e-01,3.188391601562500000e+03
7.651428580284118652e-01,2.698272460937500000e+03
8.863571286201477051e-01,2.324817382812500000e+03
1.007571458816528320e+00,2.040164550781250000e+03
1.128785729408264160e+00,1.824025024414062500e+03
1.250000000000000000e+00,1.658698974609375000e+03
