k,c
4.014999866485595703e-01,4.680547851562500000e+03
5.227142572402954102e-01,3.834667968750000000e+03
6.439285278320312500e-01,3.190637207031250000e+03
7.651428580284118652e-01,2.701694091796875000e+03
8.863571286201477051e-01,2.327288330078125000e+03
1.007571458816528320e+00,2.042056152343750000e+03
1.128785729408264160e+00,1.825468139648437500e+03
1.250000000000000000e+00,1.659891235351562500e+03
