k,c
1.275000046007335186e-03,3.527026855468750000e+03
2.062499988824129105e-03,2.848050781250000000e+03
2.850000048056244850e-03,2.357995361328125000e+03
3.637500107288360596e-03,2.002594238281250000e+03
4.424999933689832687e-03,1.746097900390625000e+03
5.212500225752592087e-03,1.560265014648437500e+03
6.000000052154064178e-03,1.425962890625000000e+03
