k,c
3.307999968528747559e-01,4.633606933593750000e+03
4.548999965190887451e-01,3.557275390625000000e+03
5.789999961853027344e-01,2.806979980468750000e+03
7.030999660491943359e-01,2.283909667968750000e+03
8.271999955177307129e-01,1.919014404296875000e+03
9.512999653816223145e-01,1.664508300781250000e+03
1.075399994850158691e+00,1.487366577148437500e+03
1.199499964714050293e+00,1.363616821289062500e+03
