k,c
3.307999968528747559e-01,4.636379882812500000e+03
4.548999965190887451e-01,3.559434814453125000e+03
5.789999961853027344e-01,2.808570800781250000e+03
7.030999660491943359e-01,2.285070068359375000e+03
8.271999955177307129e-01,1.920070556640625000e+03
9.512999653816223145e-01,1.665596679687500000e+03
1.075399994850158691e+00,1.488157714843750000e+03
1.199499964714050293e+00,1.364207641601562500e+03
