Depth,Width,Relative_Error(kh1=0.01),Relative_Error(kh1=0.03),Relative_Error(kh1=0.05),Relative_Error(kh1=0.07),Relative_Error(kh1=0.10),Mean_Error
3,20,0.08335573677133142,0.023199296790540724,0.001973573075059905,0.009335650662318715,0.005493916700641085,0.02467163479997837
3,30,0.09798271387408322,0.024858978637603127,0.0030286524670862566,0.009770030398167501,0.005758680929154303,0.028279811261218885
3,40,0.08585875638597187,0.02926663774974005,0.0015526105352960398,0.00930442337302474,0.005675872849578637,0.026331660178722266
4,20,0.07621209572348547,0.018534870009524317,0.004998694520733408,0.010327575255019643,0.006025071692667365,0.023219661440286043
4,30,0.11066349897716538,0.018911889127808598,0.004906143855710383,0.010335639468619448,0.00601753031774593,0.030166940349409956
4,40,0.10129541731303451,0.023890988694102805,0.002298246802234609,0.00943157309960863,0.006052945465365254,0.02859383427486916
5,20,0.09036726760734354,0.01951036993952027,0.005165093023855064,0.010543165780704756,0.005789586152205632,0.026275096500725847
5,30,0.08980974479531996,0.024507702749163376,0.0022642712554738057,0.009566658857932078,0.005667074444876458,0.026363090420553136
5,40,0.09027045573187309,0.03475334894564489,0.0015493690394798264,0.008439937818061375,0.0060379364829063675,0.028210209603593113
