Rank,Activation,Initial Loss,Final Loss,Minimum Loss,Final PDE Loss,Final BC Loss,Average Epoch at Minimum
1,SWISH,0.0973043441772461,0.02649668905820969,2.7647909519146197e-05,0.0016811798958769942,0.09435021675575143,312.1333333333333
2,TANH,0.08197519928216934,0.02648545788300301,3.24756620102562e-05,0.0016444832380026733,0.09448199335996041,301.73333333333335
3,SOFTPLUS,0.18509745597839355,0.026502226393252688,7.145609561121091e-05,0.001687913067144109,0.09429144163816752,326.5
4,RELU,0.10798582434654236,0.0589902446117776,8.748589607421309e-05,0.014257723238309457,0.019527232290533228,289.1
5,SIGMOID,0.1157575398683548,0.026504393377399536,8.807223639450967e-05,0.001707634733611485,0.09426514366525611,373.8
