kH,c_pinn
2.646399974822998047e+00,3.303450345993041992e+00
3.278181791305541992e+00,2.753174781799316406e+00
3.909963607788085938e+00,2.331340312957763672e+00
4.541745185852050781e+00,2.006932020187377930e+00
5.173527240753173828e+00,1.757899522781372070e+00
5.805309295654296875e+00,1.566968083381652832e+00
6.437090873718261719e+00,1.421010732650756836e+00
7.068872451782226562e+00,1.308728456497192383e+00
7.700654029846191406e+00,1.222886443138122559e+00
8.332435607910156250e+00,1.157175421714782715e+00
8.964218139648437500e+00,1.098065018653869629e+00
9.595999717712402344e+00,1.054777622222900391e+00
