parameter,S_pi_raw_eq73,S_pi_star_eq74
sigma1,1.3509844094905965e-12,0.05033491755048656
sigma2,-8.181655477964279e-12,-0.30483175898758225
delta,-59.04670708443693,-0.043999192171929366
