kH,c
5.200000107288360596e-02,2.900121582031250000e+03
6.520000100135803223e-02,2.663510986328125000e+03
7.840000092983245850e-02,2.492545654296875000e+03
9.160000085830688477e-02,2.368845703125000000e+03
1.048000007867813110e-01,2.279224365234375000e+03
1.180000007152557373e-01,2.214399414062500000e+03
1.312000006437301636e-01,2.167482666015625000e+03
1.444000005722045898e-01,2.133488281250000000e+03
1.576000005006790161e-01,2.108890869140625000e+03
1.708000004291534424e-01,2.091087158203125000e+03
1.840000003576278687e-01,2.078208007812500000e+03
1.972000002861022949e-01,2.068898681640625000e+03
2.104000002145767212e-01,2.062148193359375000e+03
2.236000001430511475e-01,2.057254638671875000e+03
2.368000000715255737e-01,2.053702636718750000e+03
2.500000000000000000e-01,2.051132812500000000e+03
