Activation,kH,PINN_c/cs1,Analytical_c/cs1,Absolute_Error,Relative_Error,Relative_Error_%
SOFTPLUS,0.09723400324583054,1.969844496984088,1.9979248360296522,0.028080339045564173,0.014054752480762203,1.4054752480762203
SOFTPLUS,0.12836386263370514,1.7373746623993955,1.6702951470135268,0.06707951538586876,0.04016027676653815,4.016027676653815
SOFTPLUS,0.15949372947216034,1.5674874695868093,1.489911896640583,0.07757557294622619,0.052067221639844403,5.20672216398444
SOFTPLUS,0.19062358140945435,1.443180558884097,1.3803532867967678,0.06282727208732908,0.04551535660347166,4.551535660347166
SOFTPLUS,0.22175344824790955,1.3522919194112573,1.309132333959152,0.04315958545210519,0.03296808453395962,3.296808453395962
SOFTPLUS,0.25288331508636475,1.2858553182188814,1.2603932976782068,0.02546202054067459,0.020201647047456247,2.020164704745625
SOFTPLUS,0.28401318192481995,1.237275145526532,1.22566205909272,0.011613086433811981,0.009474949760954837,0.9474949760954837
SOFTPLUS,0.31514301896095276,1.2017433877593025,1.2000993759264145,0.0016440118328879816,0.0013698964151355297,0.13698964151355297
SOFTPLUS,0.34627288579940796,1.1757541580016913,1.1807695895120813,0.005015431510390078,0.004247595428387142,0.42475954283871414
SOFTPLUS,0.37740275263786316,1.1567363106556958,1.1658181595509973,0.009081848895301503,0.007790107591735646,0.7790107591735645
SOFTPLUS,0.40853261947631836,1.142830957556978,1.154032070790804,0.01120111323382611,0.009706067549882312,0.9706067549882312
SOFTPLUS,0.43966248631477356,1.132663466137561,1.1445854208354413,0.011921954697880377,0.010415958897308385,1.0415958897308386
SOFTPLUS,0.47079235315322876,1.1252280238392767,1.1369050829561043,0.011677059116827593,0.010270918207583071,1.027091820758307
SOFTPLUS,0.5019221901893616,1.119788977105756,1.1305842236544037,0.010795246548647608,0.0095483789025058,0.9548378902505801
SOFTPLUS,0.5330520272254944,1.1158127398366329,1.125324281061742,0.009511541225109221,0.008452266946675223,0.8452266946675222
SOFTPLUS,0.564181923866272,1.1129051094361446,1.1209050384969133,0.007999929060768629,0.007137026586566333,0.7137026586566333
SOFTPLUS,0.5953117609024048,1.1107797041192964,1.1171610851615035,0.0063813810422070905,0.005712140466551035,0.5712140466551034
SOFTPLUS,0.6264416575431824,1.1092256277045365,1.113965026640804,0.004739398936267625,0.004254531177302243,0.4254531177302243
SOFTPLUS,0.65757155418396,1.1080892603673131,1.1112188904332063,0.003129630065893174,0.0028163938651844683,0.28163938651844683
SOFTPLUS,0.6887013912200928,1.1072584772931537,1.1088452690919688,0.001586791798815046,0.0014310308598010854,0.14310308598010854
SOFTPLUS,0.7198312282562256,1.1066510609753837,1.1067830437546242,0.00013198277924053592,0.00011924900727860874,0.011924900727860874
SOFTPLUS,0.7509611248970032,1.1062070864393392,1.1049830808574235,0.0012240055819157103,0.001107714319902464,0.1107714319902464
SOFTPLUS,0.782090961933136,1.1058825204163447,1.1034059084818915,0.0024766119344532544,0.0022445157447640216,0.22445157447640215
SOFTPLUS,0.8132208585739136,1.1056452484172157,1.1020191207383274,0.003626127678888258,0.0032904398940545023,0.3290439894054502
SOFTPLUS,0.8443506956100464,1.1054717639601783,1.1007962018237438,0.004675562136434497,0.004247436654203803,0.42474366542038033
SOFTPLUS,0.8754805326461792,1.105344961389481,1.0997149662611283,0.005629995128352716,0.005119503963371422,0.5119503963371421
SOFTPLUS,0.9066104292869568,1.1052522597712167,1.0987573440275187,0.006494915743697982,0.005911146604846097,0.5911146604846097
SOFTPLUS,0.9377402663230896,1.1051843889435589,1.0979079343970215,0.007276454546537359,0.0066275634946874095,0.662756349468741
SOFTPLUS,0.9688701629638672,1.1051348377214152,1.097153505265046,0.007981332456369117,0.0072745813763234685,0.7274581376323469
SOFTPLUS,1.0,1.1050986399466645,1.09648335070766,0.008615289239004564,0.007857200233313473,0.7857200233313473
