kh1,c_over_beta_l
0.017347659915685654,1.6677885429990567
0.022857816889882088,1.502167161772574
0.02836797386407852,1.3964731501671124
0.033878128975629807,1.3171052500822764
0.03938828408718109,1.2607318203382263
0.044898442924022675,1.2217347665892908
0.05040859803557396,1.1929683798892665
0.05591875687241554,1.172277565393354
0.06142890453338623,1.157716165649774
0.06693906337022781,1.1471774370329755
0.0724492222070694,1.1394488411949715
0.07795937359333038,1.133956510124236
0.08346953243017197,1.1297006007325836
0.08897969126701355,1.1267699656923464
0.09448984265327454,1.1245659350712438
0.10000000149011612,1.1230670472745488
