k,c
3.307999968528747559e-01,4.637310546875000000e+03
4.548999965190887451e-01,3.560286376953125000e+03
5.789999961853027344e-01,2.809422363281250000e+03
7.030999660491943359e-01,2.285879150390625000e+03
8.271999955177307129e-01,1.920751220703125000e+03
9.512999653816223145e-01,1.666132324218750000e+03
1.075399994850158691e+00,1.488561645507812500e+03
1.199499964714050293e+00,1.364500000000000000e+03
