k,c
1.275000046007335186e-03,3.534536132812500000e+03
2.062499988824129105e-03,2.850442871093750000e+03
2.850000048056244850e-03,2.357887451171875000e+03
3.637500107288360596e-03,2.002215087890625000e+03
4.424999933689832687e-03,1.745515136718750000e+03
5.212500225752592087e-03,1.559811523437500000e+03
6.000000052154064178e-03,1.425433349609375000e+03
