Activation,kH,PINN_c/cs1,Analytical_c/cs1,Absolute_Error,Relative_Error,Relative_Error_%
SWISH,0.09723400324583054,1.9706510010629876,1.9979248360296522,0.02727383496666458,0.013651081599678254,1.3651081599678254
SWISH,0.12836386263370514,1.7380136414110032,1.6702951470135268,0.06771849439747646,0.040542831318498736,4.054283131849874
SWISH,0.15949372947216034,1.5678439293808493,1.489911896640583,0.07793203274026617,0.05230647054767829,5.23064705476783
SWISH,0.19062358140945435,1.443404808513041,1.3803532867967678,0.06305152171627326,0.04567781474450639,4.567781474450639
SWISH,0.22175344824790955,1.3524417870274512,1.309132333959152,0.04330945306829914,0.033082563118214524,3.3082563118214523
SWISH,0.25288331508636475,1.2859708641645038,1.2603932976782068,0.025577566486296943,0.020293321563526114,2.0293321563526114
SWISH,0.28401318192481995,1.2373836284917152,1.22566205909272,0.011721569398995157,0.009563459447926366,0.9563459447926366
SWISH,0.31514301896095276,1.2018357583003587,1.2000993759264145,0.0017363823739442452,0.0014468654919546542,0.14468654919546542
SWISH,0.34627288579940796,1.1758508325464525,1.1807695895120813,0.004918756965628823,0.004165721245972601,0.41657212459726006
SWISH,0.37740275263786316,1.156833757713943,1.1658181595509973,0.008984401837054401,0.007706520749783697,0.7706520749783696
SWISH,0.40853261947631836,1.1429210105575778,1.154032070790804,0.011111060233226278,0.009628034189389892,0.9628034189389891
SWISH,0.43966248631477356,1.1327416003586694,1.1445854208354413,0.011843820476771905,0.010347694685930048,1.034769468593005
SWISH,0.47079235315322876,1.1252934667674084,1.1369050829561043,0.011611616188695884,0.010213355857732765,1.0213355857732764
SWISH,0.5019221901893616,1.1198425012543969,1.1305842236544037,0.010741722400006815,0.009501036875683787,0.9501036875683787
SWISH,0.5330520272254944,1.1158522483834645,1.125324281061742,0.009472032678277564,0.008417158358425105,0.8417158358425105
SWISH,0.564181923866272,1.1129343545895256,1.1209050384969133,0.007970683907387643,0.007110935925558865,0.7110935925558866
SWISH,0.5953117609024048,1.110800893060614,1.1171610851615035,0.006360192100889561,0.005693173693004258,0.5693173693004259
SWISH,0.6264416575431824,1.1092414090514553,1.113965026640804,0.004723617589348805,0.004240364352903448,0.4240364352903448
SWISH,0.65757155418396,1.1081010687877348,1.1112188904332063,0.0031178216454714747,0.002805767317594825,0.2805767317594825
SWISH,0.6887013912200928,1.1072673060187026,1.1088452690919688,0.0015779630732661865,0.0014230687700533522,0.14230687700533523
SWISH,0.7198312282562256,1.106657572160476,1.1067830437546242,0.0001254715941481077,0.0001133660249460101,0.01133660249460101
SWISH,0.7509611248970032,1.1062119422383911,1.1049830808574235,0.0012288613809676718,0.0011121087754702305,0.11121087754702305
SWISH,0.782090961933136,1.1058860519065643,1.1034059084818915,0.0024801434246728427,0.0022477162806615017,0.22477162806615017
SWISH,0.8132208585739136,1.1056477866758112,1.1020191207383274,0.003628665937483788,0.0032927431740500707,0.32927431740500707
SWISH,0.8443506956100464,1.1054736400643574,1.1007962018237438,0.004677438240613618,0.004249140969840079,0.4249140969840079
SWISH,0.8754805326461792,1.1053462856983134,1.0997149662611283,0.005631319437185089,0.0051207081925335254,0.5120708192533525
SWISH,0.9066104292869568,1.1052531426437715,1.0987573440275187,0.006495798616252824,0.0059119501239849135,0.5911950123984914
SWISH,0.9377402663230896,1.105185051097975,1.0979079343970215,0.007277116700953545,0.006628166600280731,0.662816660028073
SWISH,0.9688701629638672,1.1051352791576927,1.097153505265046,0.007981773892646649,0.0072749837231923555,0.7274983723192355
SWISH,1.0,1.1050989710238723,1.09648335070766,0.008615620316212436,0.007857502177896268,0.7857502177896267
