kH,PINN_c/cs,Analytical_c/cs,Abs_Error,Rel_Error
2.646399974822998047e+00,3.303450345993041992e+00,3.454768864007609075e+00,1.513185180145670827e-01,4.379989630884718876e-02
3.278181791305541992e+00,2.753174781799316406e+00,2.807198429300495679e+00,5.402364750117927272e-02,1.924468428640472434e-02
3.909963607788085938e+00,2.331340312957763672e+00,2.368194409384393850e+00,3.685409642663017848e-02,1.556210768870546803e-02
4.541745185852050781e+00,2.006932020187377930e+00,2.050413993472078644e+00,4.348197328470071454e-02,2.120643607736518582e-02
5.173527240753173828e+00,1.757899522781372070e+00,1.809254059640110990e+00,5.135453685873891949e-02,2.838437011381040806e-02
5.805309295654296875e+00,1.566968083381652832e+00,1.619956415665242844e+00,5.298833228359001168e-02,3.270972710820130303e-02
6.437090873718261719e+00,1.421010732650756836e+00,1.467358296464876810e+00,4.634756381411997417e-02,3.158571694846403627e-02
7.068872451782226562e+00,1.308728456497192383e+00,1.341756528727655384e+00,3.302807223046300145e-02,2.461554799497227969e-02
7.700654029846191406e+00,1.222886443138122559e+00,1.236573229089232617e+00,1.368678595111005869e-02,1.106831817893285698e-02
8.332435607910156250e+00,1.157175421714782715e+00,1.147191647814571835e+00,9.983773900210879404e-03,8.702795142581636750e-03
8.964218139648437500e+00,1.098065018653869629e+00,1.070268497158889165e+00,2.779652149498046398e-02,2.597154038334164791e-02
9.595999717712402344e+00,1.054777622222900391e+00,1.003413942281701665e+00,5.136367994119872549e-02,5.118892390950924298e-02
