kH,c_pinn
3.095999717712402344e+00,2.051330089569091797e+00
3.268908977508544922e+00,2.025567531585693359e+00
3.441818237304687500e+00,2.003136634826660156e+00
3.614727258682250977e+00,1.983576297760009766e+00
3.787636280059814453e+00,1.966470956802368164e+00
3.960545539855957031e+00,1.951664090156555176e+00
4.133454322814941406e+00,1.938758254051208496e+00
4.306363582611083984e+00,1.927508354187011719e+00
4.479272842407226562e+00,1.917712450027465820e+00
4.652181625366210938e+00,1.909183263778686523e+00
4.825090885162353516e+00,1.901752829551696777e+00
4.998000144958496094e+00,1.895280599594116211e+00
