k,c
4.014999866485595703e-01,4.678159667968750000e+03
5.227142572402954102e-01,3.833728515625000000e+03
6.439285278320312500e-01,3.189655029296875000e+03
7.651428580284118652e-01,2.698936035156250000e+03
8.863571286201477051e-01,2.325251464843750000e+03
1.007571458816528320e+00,2.040480224609375000e+03
1.128785729408264160e+00,1.823630615234375000e+03
1.250000000000000000e+00,1.658483032226562500e+03
