kH,c
5.200000107288360596e-02,2.900443847656250000e+03
6.520000100135803223e-02,2.663638183593750000e+03
7.840000092983245850e-02,2.492354248046875000e+03
9.160000085830688477e-02,2.368637451171875000e+03
1.048000007867813110e-01,2.279128662109375000e+03
1.180000007152557373e-01,2.214355712890625000e+03
1.312000006437301636e-01,2.167447021484375000e+03
1.444000005722045898e-01,2.133481445312500000e+03
1.576000005006790161e-01,2.108882080078125000e+03
1.708000004291534424e-01,2.091076416015625000e+03
1.840000003576278687e-01,2.078189453125000000e+03
1.972000002861022949e-01,2.068869628906250000e+03
2.104000002145767212e-01,2.062115966796875000e+03
2.236000001430511475e-01,2.057229248046875000e+03
2.368000000715255737e-01,2.053676513671875000e+03
2.500000000000000000e-01,2.051089355468750000e+03
