k,c
3.307999968528747559e-01,4.635547363281250000e+03
4.548999965190887451e-01,3.558795654296875000e+03
5.789999961853027344e-01,2.807868164062500000e+03
7.030999660491943359e-01,2.283617919921875000e+03
8.271999955177307129e-01,1.918337890625000000e+03
9.512999653816223145e-01,1.663672363281250000e+03
1.075399994850158691e+00,1.486461669921875000e+03
1.199499964714050293e+00,1.362880249023437500e+03
