Depth,Width,kh1=0.01,kh1=0.03,kh1=0.05,kh1=0.07,kh1=0.10
3,20,1.6728130614096393,1.3712121325977487,1.1954497143124354,1.1431507069243068,1.123262623780819
3,30,1.665276116777464,1.3734363091507258,1.1941859257756318,1.142649466012144,1.1229635811032554
3,40,1.6769427064774516,1.379343111149002,1.1959539490043438,1.1431867408220195,1.1230571101648634
4,20,1.6767561492688152,1.364961230536141,1.1918261824395036,1.1420061019931615,1.1226627013067418
4,30,1.646154921481879,1.3654664822410965,1.1919370408928234,1.1419967965089342,1.122671219047079
4,40,1.6569328174422473,1.3721390843002752,1.1950608156781661,1.1430400197858515,1.1226312187772922
5,20,1.6707220173164172,1.3662685196865092,1.1916268680349424,1.141757327055406,1.1229286746481657
5,30,1.6677885429990569,1.3729655565205896,1.1951015120531048,1.1428841411774953,1.123067047679894
5,40,1.6785692782365484,1.3866959748418166,1.1996695425962836,1.1441842908741062,1.1226481709400795
