Depth,Width,Mean_Error,Max_Error,RMSE
5,54,0.02625115046155194,0.06381436532219362,0.06336521659101471
7,44,0.02782996544654918,0.06538339739272296,0.06532109756479312
5,64,0.02784197030913666,0.06559508985428841,0.06547620579099184
5,44,0.028106172464780605,0.06786381345457708,0.06732726117490405
6,44,0.02835197081704205,0.06643964688736292,0.06637751706801087
6,64,0.02843151151098284,0.06662301534013353,0.06655459822706478
8,44,0.02906282152264167,0.0673318531643996,0.06739983004945739
6,54,0.029074528153841598,0.06768752600400534,0.06769122960898323
7,64,0.029100848593193136,0.06742434875562013,0.0674859417718459
8,54,0.02924978117460611,0.0677550905666513,0.06781737824786267
7,54,0.029344584488135022,0.06785083161721292,0.06794967575608728
8,64,0.029489726597833863,0.06789405523480083,0.06804272314030287
