Activation,kH,PINN_c/cs1,Analytical_c/cs1,Absolute_Error,Relative_Error,Relative_Error_%
TANH,0.09723400324583054,1.9702713658643813,1.9979248360296522,0.027653470165270866,0.0138410963548683,1.38410963548683
TANH,0.12836386263370514,1.7375896418665133,1.6702951470135268,0.06729449485298655,0.040288984239287604,4.02889842392876
TANH,0.15949372947216034,1.5675164940220514,1.489911896640583,0.0776045973814683,0.05208670227846979,5.208670227846978
TANH,0.19062358140945435,1.4431755927259757,1.3803532867967678,0.0628223059292079,0.04551175885920671,4.551175885920671
TANH,0.22175344824790955,1.3523155362521009,1.309132333959152,0.04318320229294881,0.03298612460541076,3.2986124605410763
TANH,0.25288331508636475,1.2858563114505057,1.2603932976782068,0.02546301377229887,0.02020243508054569,2.020243508054569
TANH,0.28401318192481995,1.237278125221405,1.22566205909272,0.011616066128684821,0.009477380851034467,0.9477380851034467
TANH,0.31514301896095276,1.2017178948142797,1.2000993759264145,0.001618518887865239,0.0013486540534327221,0.1348654053432722
TANH,0.34627288579940796,1.1757372730640787,1.1807695895120813,0.005032316448002616,0.004261895371206227,0.4261895371206227
TANH,0.37740275263786316,1.156731454856644,1.1658181595509973,0.009086704694353243,0.007794272734482788,0.7794272734482788
TANH,0.40853261947631836,1.1428279778621053,1.154032070790804,0.011204092928698728,0.009708649536074927,0.9708649536074927
TANH,0.43966248631477356,1.1326709705542775,1.1445854208354413,0.01191445028116389,0.010409402447628108,1.0409402447628109
TANH,0.47079235315322876,1.1252349764606464,1.1369050829561043,0.011670106495457855,0.010264802814597351,1.0264802814597351
TANH,0.5019221901893616,1.1197975851131665,1.1305842236544037,0.010786638541237181,0.009540765133243567,0.9540765133243567
TANH,0.5330520272254944,1.1158193613807947,1.125324281061742,0.009504919680947355,0.008446382825739328,0.8446382825739328
TANH,0.564181923866272,1.1129123931347225,1.1209050384969133,0.007992645362190798,0.007130528535145672,0.7130528535145673
TANH,0.5953117609024048,1.1107858842271805,1.1171610851615035,0.006375200934322978,0.005706608490933374,0.5706608490933374
TANH,0.6264416575431824,1.1092299317082417,1.113965026640804,0.004735094932562411,0.004250667497920681,0.4250667497920681
TANH,0.65757155418396,1.1080924607803246,1.1112188904332063,0.0031264296528816793,0.0028135137728470825,0.28135137728470827
TANH,0.6887013912200928,1.107261015551749,1.1088452690919688,0.0015842535402197377,0.0014287417589986021,0.1428741758998602
TANH,0.7198312282562256,1.1066530474386322,1.1067830437546242,0.00012999631599197592,0.00011745419910932095,0.011745419910932095
TANH,0.7509611248970032,1.106208521107241,1.1049830808574235,0.001225440249817522,0.0011090126817748455,0.11090126817748455
TANH,0.782090961933136,1.105883513647969,1.1034059084818915,0.0024776051660775344,0.002245415895485207,0.2245415895485207
TANH,0.8132208585739136,1.1056459105716319,1.1020191207383274,0.0036267898333044446,0.003291040749705485,0.3291040749705485
TANH,0.8443506956100464,1.1054722053964556,1.1007962018237438,0.0046760035727118066,0.0042478376696475145,0.42478376696475145
TANH,0.8754805326461792,1.1053451821076197,1.0997149662611283,0.005630215846491371,0.005119704668231705,0.5119704668231705
TANH,0.9066104292869568,1.105252370130286,1.0987573440275187,0.0064950261027674205,0.005911247044738525,0.5911247044738525
TANH,0.9377402663230896,1.1051844993026283,1.0979079343970215,0.007276564905606797,0.006627664012286364,0.6627664012286364
TANH,0.9688701629638672,1.1051349480804846,1.097153505265046,0.007981442815438555,0.007274681963040741,0.7274681963040741
TANH,1.0,1.1050986399466645,1.09648335070766,0.008615289239004564,0.007857200233313473,0.7857200233313473
