Rank,Activation,MAE,RMSE,Max Absolute Error,Mean Relative Error (%),Max Relative Error (%)
1,RELU,0.01519803723965724,0.025010612215077263,0.0768576872000244,1.1313213396267583,5.158539063505783
2,SIGMOID,0.015219719118151261,0.025023130982388314,0.07687324782880456,1.1330181127849424,5.159583462762898
3,SOFTPLUS,0.015287166902709867,0.025210799863672858,0.07757557294622619,1.137979843401169,5.20672216398444
4,TANH,0.015280096564999394,0.02521772987985764,0.0776045973814683,1.137668754528023,5.208670227846978
5,SWISH,0.015296558459512595,0.025300522751442296,0.07793203274026617,1.1387520863229055,5.23064705476783
