k,c
3.307999968528747559e-01,4.637255859375000000e+03
4.548999965190887451e-01,3.559826904296875000e+03
5.789999961853027344e-01,2.808722900390625000e+03
7.030999660491943359e-01,2.285307373046875000e+03
8.271999955177307129e-01,1.920379028320312500e+03
9.512999653816223145e-01,1.665859497070312500e+03
1.075399994850158691e+00,1.488368408203125000e+03
1.199499964714050293e+00,1.364365844726562500e+03
