kh1,c/beta_l
3.616541353383458807e-02,1.273612805988757035e+00
3.623670863802264108e-02,1.273007518796992477e+00
3.639097744360902942e-02,1.271731015331617698e+00
3.641508022287334029e-02,1.271528822055137953e+00
3.659525683041980892e-02,1.270050125313283207e+00
3.661654135338346383e-02,1.269879116999610202e+00
3.677719838153203913e-02,1.268571428571428683e+00
3.684210526315789824e-02,1.268056134655381806e+00
3.696195244724698181e-02,1.267092731829573937e+00
3.706766917293233266e-02,1.266263598711353966e+00
3.714950805930209571e-02,1.265614035087719413e+00
3.729323308270677401e-02,1.264500676545982749e+00
3.733986084391291427e-02,1.264135338345864668e+00
3.751879699248120842e-02,1.262766573046173013e+00
3.753301295023618589e-02,1.262656641604010144e+00
3.772831926234584965e-02,1.261177944862155176e+00
3.774436090225564283e-02,1.261059045024925718e+00
3.792597824215392099e-02,1.259699248120300874e+00
3.796992481203007724e-02,1.259377773891935171e+00
3.812661751707723673e-02,1.258220551378446128e+00
3.819548872180451859e-02,1.257723443545240460e+00
3.833026308888551337e-02,1.256741854636591604e+00
3.842105263157895301e-02,1.256095392230116126e+00
3.853694816039747451e-02,1.255263157894736858e+00
3.864661654135338742e-02,1.254492989434731198e+00
3.874671328514689428e-02,1.253784461152882335e+00
3.887218045112782183e-02,1.252915634806528233e+00
3.895960656175435216e-02,1.252305764411027589e+00
3.909774436090225624e-02,1.251362757159658834e+00
3.917568387491170145e-02,1.250827067669173065e+00
3.932330827067669760e-02,1.249833813570615515e+00
3.939500918542824387e-02,1.249348370927318319e+00
3.954887218045113201e-02,1.248328288559730215e+00
3.961765487236822147e-02,1.247869674185463795e+00
3.977443609022556642e-02,1.246845693356747553e+00
3.984370213094744206e-02,1.246390977443609049e+00
4.000000000000000083e-02,1.245385565249225168e+00
4.007324143055540633e-02,1.244912280701754526e+00
4.022556390977444218e-02,1.243947467013055697e+00
4.030637303805237326e-02,1.243433583959899780e+00
4.045112781954887660e-02,1.242530986424984940e+00
4.054320761236699516e-02,1.241954887218045034e+00
4.067669172932331101e-02,1.241135735857590294e+00
4.078386687741450412e-02,1.240476190476190510e+00
4.090225563909774542e-02,1.239761351957814561e+00
4.102848438148651300e-02,1.238997493734335986e+00
4.112781954887218677e-02,1.238407495410820403e+00
4.127720635256051929e-02,1.237518796992481240e+00
4.135338345864662118e-02,1.237073850791665430e+00
4.153019266047187213e-02,1.236040100250626494e+00
4.157894736842105560e-02,1.235760126508086643e+00
4.178761789861886594e-02,1.234561403508771971e+00
4.180451127819549695e-02,1.234466054838552873e+00
4.203007518796993136e-02,1.233189732536303707e+00
4.204895214476523507e-02,1.233082706766917447e+00
4.225563909774436577e-02,1.231930781669037023e+00
4.231433201375434799e-02,1.231604010025062701e+00
4.248120300751880019e-02,1.230690429744036196e+00
4.258459966006915981e-02,1.230125313283207955e+00
4.270676691729324154e-02,1.229468490991088681e+00
4.285999365492550867e-02,1.228646616541353431e+00
4.293233082706768289e-02,1.228264803629595336e+00
4.314077404162704882e-02,1.227167919799498907e+00
4.315789473684211036e-02,1.227079230467826410e+00
4.338345864661654477e-02,1.225908042353253125e+00
4.342566277580262035e-02,1.225689223057644162e+00
4.360902255639098613e-02,1.224752898338468343e+00
4.371571437631430884e-02,1.224210526315789416e+00
4.383458646616542054e-02,1.223615137844968892e+00
4.401186642367634766e-02,1.222731829573934892e+00
4.406015037593985495e-02,1.222494705595444930e+00
4.428571428571428936e-02,1.221389232431492111e+00
4.431346934990110231e-02,1.221253132832080368e+00
4.451127819548873071e-02,1.220296607309616643e+00
4.461999485962582501e-02,1.219774436090225622e+00
4.473684210526316513e-02,1.219220777312481463e+00
4.493354184810888913e-02,1.218295739348370876e+00
4.496240601503760648e-02,1.218161772880456795e+00
4.518796992481203395e-02,1.217114312966588674e+00
4.525227348283498985e-02,1.216817042606516353e+00
4.541353383458647530e-02,1.216080927752361873e+00
4.557770497690859929e-02,1.215338345864661607e+00
4.563909774436090971e-02,1.215064032378122993e+00
4.586466165413534413e-02,1.214060045096818419e+00
4.590976953517347803e-02,1.213859649122807083e+00
4.609022556390977854e-02,1.213067305337074853e+00
4.624824330489107210e-02,1.212380952380952337e+00
4.631578947368421989e-02,1.212090859553613509e+00
4.654135338345865430e-02,1.211126621012672988e+00
4.659399163884199446e-02,1.210902255639097813e+00
4.676691729323309565e-02,1.210173073240712549e+00
4.694691518972261141e-02,1.209423558897243067e+00
4.699248120300752313e-02,1.209235768157507884e+00
4.721804511278196448e-02,1.208307818041658432e+00
4.730694751172175028e-02,1.207944862155388543e+00
4.744360902255639889e-02,1.207392351099469074e+00
4.766917293233083330e-02,1.206492699042958305e+00
4.767580513388796487e-02,1.206466165413533798e+00
4.789473684210526772e-02,1.205598328165866207e+00
4.805122594558654953e-02,1.204987468671679274e+00
4.812030075187970907e-02,1.204720179173359718e+00
4.834586466165414348e-02,1.203851540750236593e+00
4.843555525980143550e-02,1.203508771929824528e+00
4.857142857142857789e-02,1.202993734974447060e+00
4.879699248120301924e-02,1.202149982463964983e+00
4.882905718412532126e-02,1.202030075187970004e+00
4.902255639097745366e-02,1.201311956668101866e+00
4.923129788802325935e-02,1.200551378446115258e+00
4.924812030075188807e-02,1.200490514938776343e+00
4.947368421052632248e-02,1.199673044486322837e+00
4.964223996059625305e-02,1.199072681704260734e+00
4.969924812030075689e-02,1.198870937356032895e+00
4.992481203007520518e-02,1.198075330806244843e+00
5.006313534335531112e-02,1.197593984962405989e+00
5.015037593984963266e-02,1.197292169905121995e+00
5.037593984962406707e-02,1.196517273100937695e+00
5.049424478904919467e-02,1.196115288220551687e+00
5.060150375939850148e-02,1.195752733516850297e+00
5.082706766917294283e-02,1.194997447884012853e+00
5.093589383637113499e-02,1.194636591478696719e+00
5.105263157894737724e-02,1.194251268224547191e+00
5.127819548872181166e-02,1.193514545614680289e+00
5.138847725716059328e-02,1.193157894736842195e+00
5.150375939849624607e-02,1.192786528735195750e+00
5.172932330827068742e-02,1.192067366546766483e+00
5.185246467220525068e-02,1.191679197994987449e+00
5.195488721804511489e-02,1.191357380997854598e+00
5.218045112781955625e-02,1.190654817523030262e+00
5.232840749463052443e-02,1.190200501253132925e+00
5.240601503759399066e-02,1.189962799789382686e+00
5.263157894736843201e-02,1.189275909735543202e+00
5.281694740502101970e-02,1.188721804511278179e+00
5.285714285714286642e-02,1.188601867360558506e+00
5.308270676691730083e-02,1.187929757494799343e+00
5.330827067669173525e-02,1.187273008269413399e+00
5.331851927297425603e-02,1.187243107769423656e+00
5.353383458646616966e-02,1.186615578075538746e+00
5.375939849624061101e-02,1.185972363460427781e+00
5.383271460365258998e-02,1.185764411027568910e+00
5.398496240601503848e-02,1.185332692737369298e+00
5.421052631578947983e-02,1.184702200860247912e+00
5.436166941168640854e-02,1.184285714285714164e+00
5.443609022556391425e-02,1.184080529054767128e+00
5.466165413533835560e-02,1.183461966358959838e+00
5.488721804511279001e-02,1.182857248095170011e+00
5.490593718686961888e-02,1.182807017543859640e+00
5.511278195488722442e-02,1.182251211746620401e+00
5.533834586466165884e-02,1.181657361368634529e+00
5.546474669269577107e-02,1.181328320802005116e+00
5.556390977443610019e-02,1.181069600066975811e+00
5.578947368421052766e-02,1.180485874634586319e+00
5.601503759398496901e-02,1.179915030136879706e+00
5.604088142129824701e-02,1.179849624060150370e+00
5.624060150375940342e-02,1.179342574239625741e+00
5.646616541353384477e-02,1.178780895818177576e+00
5.663340764793507731e-02,1.178370927318295847e+00
5.669172932330827919e-02,1.178227369853844131e+00
5.691729323308271360e-02,1.177674144741684081e+00
5.714285714285714801e-02,1.177132989348648850e+00
5.724405046499879413e-02,1.176892230576441101e+00
5.736842105263158936e-02,1.176594816677321020e+00
5.759398496240603071e-02,1.176061232318561078e+00
5.781954887218045819e-02,1.175539179248773047e+00
5.787401121656296499e-02,1.175413533834586577e+00
5.804511278195489260e-02,1.175016379252648235e+00
5.827067669172933395e-02,1.174501058150292376e+00
5.849624060150376836e-02,1.173996777875476738e+00
5.852395582679500996e-02,1.173934837092731831e+00
5.872180451127820972e-02,1.173489477089768140e+00
5.894736842105263719e-02,1.172991125353152198e+00
5.917293233082707854e-02,1.172503368381976996e+00
5.919476739014354477e-02,1.172456140350877307e+00
5.939849624060151295e-02,1.172011808239410424e+00
5.962406015037594736e-02,1.171529204676102109e+00
5.984962406015038178e-02,1.171056791164051480e+00
5.988756715166443367e-02,1.170977443609022561e+00
6.007518796992482313e-02,1.170581338616255795e+00
6.030075187969925754e-02,1.170113324407790145e+00
6.052631578947369195e-02,1.169655134312824307e+00
6.060374252293691116e-02,1.169498746867168038e+00
6.075187969924813330e-02,1.169196295932405816e+00
6.097744360902256772e-02,1.168741764675832018e+00
6.120300751879700213e-02,1.168296728253850558e+00
6.134498352722207726e-02,1.168020050125313292e+00
6.142857142857143654e-02,1.167855168635172802e+00
6.165413533834587095e-02,1.167413056520259174e+00
6.187969924812031230e-02,1.166980144942477260e+00
6.210526315789474672e-02,1.166556157741965638e+00
6.211312746447024413e-02,1.166541353383458768e+00
6.233082706766918113e-02,1.166125986376471690e+00
6.255639097744361554e-02,1.165704202226630404e+00
6.278195488721804995e-02,1.165291090297205123e+00
6.290801145264617034e-02,1.165062656641604022e+00
6.300751879699248437e-02,1.164879606937346601e+00
6.323308270676691878e-02,1.164467974306481635e+00
6.345864661654135319e-02,1.164064793345461979e+00
6.368421052631580148e-02,1.163669813576187373e+00
6.373337813187750223e-02,1.163583959899749498e+00
6.390977443609023589e-02,1.163270809654580740e+00
6.413533834586465643e-02,1.162876625930128860e+00
6.436090225563910472e-02,1.162490459653272579e+00
6.458646616541353913e-02,1.162112075368041841e+00
6.459052042078365641e-02,1.162105263157894752e+00
6.481203007518798742e-02,1.161726237398740924e+00
6.503759398496240796e-02,1.161347980395072366e+00
6.526315789473684237e-02,1.160977355954097456e+00
6.548083930771930739e-02,1.160626566416040228e+00
6.548872180451129066e-02,1.160613605357596612e+00
6.571428571428572507e-02,1.160242340441492104e+00
6.593984962406015948e-02,1.159878588435481639e+00
6.616541353383459390e-02,1.159522129587817307e+00
6.639097744360902831e-02,1.159172752588779609e+00
6.640703751218166029e-02,1.159147869674185483e+00
6.661654135338346272e-02,1.158816078284199858e+00
6.684210526315789713e-02,1.158465491087228738e+00
