k,c
3.307999968528747559e-01,4.636658691406250000e+03
4.548999965190887451e-01,3.560534667968750000e+03
5.789999961853027344e-01,2.810009521484375000e+03
7.030999660491943359e-01,2.286580810546875000e+03
8.271999955177307129e-01,1.921459960937500000e+03
9.512999653816223145e-01,1.666750366210937500e+03
1.075399994850158691e+00,1.489033569335937500e+03
1.199499964714050293e+00,1.364844238281250000e+03
