k,c,c_over_beta_l,loss
0.00863999966531992,4637.00732421875,1.5860854387283325,0.0015510815428569913
0.011377332732081413,4636.75927734375,1.586000680923462,0.0012395496014505625
0.014114666730165482,4637.099609375,1.5861170291900635,0.0032051156740635633
0.0168519988656044,4637.00537109375,1.5860848426818848,0.0003092427796218544
0.01958933286368847,4636.67626953125,1.5859723091125488,0.0013475771993398666
0.022326666861772537,4637.013671875,1.586087703704834,0.0019251697231084108
0.025063998997211456,4637.02490234375,1.5860915184020996,0.0006118986057117581
0.027801331132650375,4637.14892578125,1.5861339569091797,0.0016940529458224773
0.030538666993379593,4637.017578125,1.586089015007019,0.0005383570678532124
0.03327599912881851,4637.00341796875,1.586084246635437,0.00047220144188031554
0.03601333498954773,4636.83935546875,1.586027979850769,0.0011621061712503433
0.03875066712498665,4636.36328125,1.5858652591705322,0.003582226810976863
0.04148799926042557,4637.15087890625,1.586134672164917,0.0007227959576994181
0.04422533139586449,4636.88330078125,1.586043119430542,0.0032519043888896704
0.046962667256593704,4636.7119140625,1.585984468460083,0.0007256179815158248
0.04969999939203262,4636.61767578125,1.5859521627426147,0.0008697167504578829
