kH,c
5.200000107288360596e-02,2.898818847656250000e+03
6.520000100135803223e-02,2.661947753906250000e+03
7.840000092983245850e-02,2.490470214843750000e+03
9.160000085830688477e-02,2.367249755859375000e+03
1.048000007867813110e-01,2.277989746093750000e+03
1.180000007152557373e-01,2.213357177734375000e+03
1.312000006437301636e-01,2.166689941406250000e+03
1.444000005722045898e-01,2.132901123046875000e+03
1.576000005006790161e-01,2.108454833984375000e+03
1.708000004291534424e-01,2.090767089843750000e+03
1.840000003576278687e-01,2.077956542968750000e+03
1.972000002861022949e-01,2.068693847656250000e+03
2.104000002145767212e-01,2.061994140625000000e+03
2.236000001430511475e-01,2.057141113281250000e+03
2.368000000715255737e-01,2.053632080078125000e+03
2.500000000000000000e-01,2.051094238281250000e+03
