kH,PINN_c/cs,Analytical_c/cs,Abs_Error,Rel_Error
3.216079950332641602e+00,2.974235057830810547e+00,3.030854471829308228e+00,5.661941399849768075e-02,1.868100713008644109e-02
3.828683614730834961e+00,2.530901908874511719e+00,2.561101310834925648e+00,3.019940196041392966e-02,1.179156866331416108e-02
4.441287040710449219e+00,2.183967351913452148e+00,2.220077443972052755e+00,3.611009205860060689e-02,1.626523982604598587e-02
5.053890705108642578e+00,1.912853717803955078e+00,1.960852299429491907e+00,4.799858162553682916e-02,2.447842789561557875e-02
5.666494369506835938e+00,1.700254797935485840e+00,1.756947216458477623e+00,5.669241852299178319e-02,3.226757069985750764e-02
6.279098033905029297e+00,1.533506989479064941e+00,1.592374622822317232e+00,5.886763334325229025e-02,3.696845735893201923e-02
6.891701698303222656e+00,1.403373241424560547e+00,1.456751224705182590e+00,5.337798328062204334e-02,3.664179742936182066e-02
7.504304885864257812e+00,1.300880432128906250e+00,1.342970685369246686e+00,4.209025324034043614e-02,3.134115561782930409e-02
8.116909027099609375e+00,1.211004257202148438e+00,1.246233086461482120e+00,3.522882925933368270e-02,2.826825065234096074e-02
8.729512214660644531e+00,1.150863170623779297e+00,1.162946288192243660e+00,1.208311756846436325e-02,1.039009083321218267e-02
9.342116355895996094e+00,1.098309636116027832e+00,1.090526406529794601e+00,7.783229586233231245e-03,7.137130783472305472e-03
9.954719543457031250e+00,1.061592459678649902e+00,1.026899807171013146e+00,3.469265250763675645e-02,3.378387284267866941e-02
