k,c
1.275000046007335186e-03,3.533952636718750000e+03
2.062499988824129105e-03,2.853398437500000000e+03
2.850000048056244850e-03,2.360702636718750000e+03
3.637500107288360596e-03,2.004748291015625000e+03
4.424999933689832687e-03,1.747656738281250000e+03
5.212500225752592087e-03,1.561587280273437500e+03
6.000000052154064178e-03,1.426788085937500000e+03
