kH,c
5.200000107288360596e-02,2.897892578125000000e+03
6.520000100135803223e-02,2.662038818359375000e+03
7.840000092983245850e-02,2.491207031250000000e+03
9.160000085830688477e-02,2.367734863281250000e+03
1.048000007867813110e-01,2.278420410156250000e+03
1.180000007152557373e-01,2.213779296875000000e+03
1.312000006437301636e-01,2.166985839843750000e+03
1.444000005722045898e-01,2.133140380859375000e+03
1.576000005006790161e-01,2.108630615234375000e+03
1.708000004291534424e-01,2.090894287109375000e+03
1.840000003576278687e-01,2.078044921875000000e+03
1.972000002861022949e-01,2.068757812500000000e+03
2.104000002145767212e-01,2.062029785156250000e+03
2.236000001430511475e-01,2.057158447265625000e+03
2.368000000715255737e-01,2.053641357421875000e+03
2.500000000000000000e-01,2.051108154296875000e+03
