kH,c_pinn
2.745599985122680664e+00,2.051252603530883789e+00
2.950527191162109375e+00,2.015350103378295898e+00
3.155454397201538086e+00,1.984646439552307129e+00
3.360381603240966797e+00,1.958529233932495117e+00
3.565309047698974609e+00,1.936190128326416016e+00
3.770236492156982422e+00,1.917177319526672363e+00
3.975163459777832031e+00,1.900959253311157227e+00
4.180090904235839844e+00,1.887141346931457520e+00
4.385018348693847656e+00,1.875329256057739258e+00
4.589945793151855469e+00,1.865275025367736816e+00
4.794872760772705078e+00,1.856685757637023926e+00
4.999799728393554688e+00,1.850294232368469238e+00
