kH,c
5.200000107288360596e-02,2.902668212890625000e+03
6.520000100135803223e-02,2.663853027343750000e+03
7.840000092983245850e-02,2.492735351562500000e+03
9.160000085830688477e-02,2.368732177734375000e+03
1.048000007867813110e-01,2.278908447265625000e+03
1.180000007152557373e-01,2.214132324218750000e+03
1.312000006437301636e-01,2.167243164062500000e+03
1.444000005722045898e-01,2.133314941406250000e+03
1.576000005006790161e-01,2.108759033203125000e+03
1.708000004291534424e-01,2.090984619140625000e+03
1.840000003576278687e-01,2.078122802734375000e+03
1.972000002861022949e-01,2.068817382812500000e+03
2.104000002145767212e-01,2.062079345703125000e+03
2.236000001430511475e-01,2.057202880859375000e+03
2.368000000715255737e-01,2.053654541015625000e+03
2.500000000000000000e-01,2.051105468750000000e+03
