k,c
4.014999866485595703e-01,4.676957031250000000e+03
5.227142572402954102e-01,3.835573242187500000e+03
6.439285278320312500e-01,3.193000000000000000e+03
7.651428580284118652e-01,2.703496582031250000e+03
8.863571286201477051e-01,2.328714355468750000e+03
1.007571458816528320e+00,2.043166015625000000e+03
1.128785729408264160e+00,1.825943115234375000e+03
1.250000000000000000e+00,1.660165161132812500e+03
