k,c
4.014999866485595703e-01,4.680547851562500000e+03
5.227142572402954102e-01,3.834802734375000000e+03
6.439285278320312500e-01,3.192108398437500000e+03
7.651428580284118652e-01,2.701112792968750000e+03
8.863571286201477051e-01,2.326804199218750000e+03
1.007571458816528320e+00,2.041700561523437500e+03
1.128785729408264160e+00,1.824514648437500000e+03
1.250000000000000000e+00,1.659186035156250000e+03
