kH,PINN_c/cs,Analytical_c/cs,Abs_Error,Rel_Error
3.095999717712402344e+00,2.051330089569091797e+00,2.049799091282824115e+00,1.530998286267681863e-03,7.469016318616564318e-04
3.268908977508544922e+00,2.025567531585693359e+00,2.024197064215153219e+00,1.370467370540140450e-03,6.770424652658583791e-04
3.441818237304687500e+00,2.003136634826660156e+00,2.002128366032828399e+00,1.008268793831756938e-03,5.035984759706584610e-04
3.614727258682250977e+00,1.983576297760009766e+00,1.982982277231321477e+00,5.940205286882882518e-04,2.995591718135127675e-04
3.787636280059814453e+00,1.966470956802368164e+00,1.966269480713984663e+00,2.014760883835009508e-04,1.024661626291131159e-04
3.960545539855957031e+00,1.951664090156555176e+00,1.951603295487122969e+00,6.079466943220701580e-05,3.115114099919193678e-05
4.133454322814941406e+00,1.938758254051208496e+00,1.938670232382952108e+00,8.802166825638835235e-05,4.540311538605248427e-05
4.306363582611083984e+00,1.927508354187011719e+00,1.927206060614863325e+00,3.022935721483932525e-04,1.568558642099477057e-04
4.479272842407226562e+00,1.917712450027465820e+00,1.917001590973338887e+00,7.108590541269332874e-04,3.708181868362464789e-04
4.652181625366210938e+00,1.909183263778686523e+00,1.907883240514189893e+00,1.300023264496630304e-03,6.813956100092705311e-04
4.825090885162353516e+00,1.901752829551696777e+00,1.899702942098502989e+00,2.049887453193788289e-03,1.079056839765371069e-03
4.998000144958496094e+00,1.895280599594116211e+00,1.892338375370514525e+00,2.942224223601686006e-03,1.554808728658587215e-03
