kH,c
5.200000107288360596e-02,2.900253906250000000e+03
6.520000100135803223e-02,2.663648925781250000e+03
7.840000092983245850e-02,2.492593750000000000e+03
9.160000085830688477e-02,2.368842041015625000e+03
1.048000007867813110e-01,2.279328369140625000e+03
1.180000007152557373e-01,2.214517578125000000e+03
1.312000006437301636e-01,2.167529541015625000e+03
1.444000005722045898e-01,2.133546875000000000e+03
1.576000005006790161e-01,2.108927246093750000e+03
1.708000004291534424e-01,2.091105468750000000e+03
1.840000003576278687e-01,2.078210205078125000e+03
1.972000002861022949e-01,2.068883544921875000e+03
2.104000002145767212e-01,2.062127441406250000e+03
2.236000001430511475e-01,2.057237548828125000e+03
2.368000000715255737e-01,2.053663818359375000e+03
2.500000000000000000e-01,2.051070556640625000e+03
