k,c
1.275000046007335186e-03,3.521132812500000000e+03
2.062499988824129105e-03,2.843656494140625000e+03
2.850000048056244850e-03,2.354015869140625000e+03
3.637500107288360596e-03,1.998984619140625000e+03
4.424999933689832687e-03,1.743191772460937500e+03
5.212500225752592087e-03,1.558110229492187500e+03
6.000000052154064178e-03,1.424403442382812500e+03
