kH,PINN_c/cs,Analytical_c/cs,Abs_Error,Rel_Error
2.595000028610229492e+00,2.050687789916992188e+00,2.048163582187644938e+00,2.524207729347249796e-03,1.232424866499746063e-03
2.770363807678222656e+00,2.014628171920776367e+00,2.011277775143478941e+00,3.350396777297426354e-03,1.665805100967925013e-03
2.945727348327636719e+00,1.984007716178894043e+00,1.980562956485659054e+00,3.444759693234988873e-03,1.739283107338038302e-03
3.121090888977050781e+00,1.957855939865112305e+00,1.954833567126341043e+00,3.022372738771261780e-03,1.546102333005378417e-03
3.296454429626464844e+00,1.935613393783569336e+00,1.933179869995835798e+00,2.433523787733538057e-03,1.258819122577962751e-03
3.471818447113037109e+00,1.916682004928588867e+00,1.914889108910464044e+00,1.792896018124823243e-03,9.362923470513377817e-04
3.647181987762451172e+00,1.900548338890075684e+00,1.899402955132589277e+00,1.145383757486406751e-03,6.030230470008151895e-04
3.822545528411865234e+00,1.886772751808166504e+00,1.886261450977567034e+00,5.113008305994704017e-04,2.710657265112879455e-04
3.997909069061279297e+00,1.875032067298889160e+00,1.875090257473249089e+00,5.819017435992890341e-05,3.103326580041124833e-05
4.173272609710693359e+00,1.865015029907226562e+00,1.865576806931166232e+00,5.617770239396691068e-04,3.011277916044530407e-04
4.348636627197265625e+00,1.856468319892883301e+00,1.857459405784525286e+00,9.910858916419851283e-04,5.335706872276896068e-04
4.524000167846679688e+00,1.850353121757507324e+00,1.850517105345279356e+00,1.639835877720319246e-04,8.861500782584498417e-05
