k,c
3.307999968528747559e-01,4.636172851562500000e+03
4.548999965190887451e-01,3.559420166015625000e+03
5.789999961853027344e-01,2.808631347656250000e+03
7.030999660491943359e-01,2.285139404296875000e+03
8.271999955177307129e-01,1.920117431640625000e+03
9.512999653816223145e-01,1.665605957031250000e+03
1.075399994850158691e+00,1.488168212890625000e+03
1.199499964714050293e+00,1.364217285156250000e+03
