Activation,kH,PINN_c/cs1,Analytical_c/cs1,Absolute_Error,Relative_Error,Relative_Error_%
SIGMOID,0.09723400324583054,1.9692646704336585,1.9979248360296522,0.028660165595993714,0.014344966877206563,1.4344966877206564
SIGMOID,0.12836386263370514,1.7366134055389344,1.6702951470135268,0.06631825852540763,0.03970451488408147,3.970451488408147
SIGMOID,0.15949372947216034,1.5667851444693877,1.489911896640583,0.07687324782880456,0.05159583462762898,5.159583462762898
SIGMOID,0.19062358140945435,1.4426678306478398,1.3803532867967678,0.062314543851071935,0.0451439094955744,4.5143909495574395
SIGMOID,0.22175344824790955,1.3519498062962343,1.309132333959152,0.04281747233708222,0.03270675639611711,3.270675639611711
SIGMOID,0.25288331508636475,1.2856244470457754,1.2603932976782068,0.02523114936756854,0.020018473133780777,2.001847313378078
SIGMOID,0.28401318192481995,1.2371109312313209,1.22566205909272,0.011448872138600796,0.009340969685457728,0.9340969685457728
SIGMOID,0.31514301896095276,1.2016299386359979,1.2000993759264145,0.0015305627095834051,0.0012753633076443274,0.12753633076443274
SIGMOID,0.34627288579940796,1.1756753616261666,1.1807695895120813,0.005094227885914737,0.004314328494875769,0.4314328494875769
SIGMOID,0.37740275263786316,1.1566865387154135,1.1658181595509973,0.009131620835583831,0.00783280030489556,0.783280030489556
SIGMOID,0.40853261947631836,1.1428024849170826,1.154032070790804,0.01122958587372147,0.009730739862390793,0.9730739862390793
SIGMOID,0.43966248631477356,1.132642166837174,1.1445854208354413,0.011943253998267345,0.010434567644195463,1.0434567644195463
SIGMOID,0.47079235315322876,1.1252112492607336,1.1369050829561043,0.011693833695370692,0.010285672806532952,1.0285672806532953
SIGMOID,0.5019221901893616,1.119779155148583,1.1305842236544037,0.010805068505820747,0.009557066408458601,0.9557066408458601
SIGMOID,0.5330520272254944,1.1158055664971243,1.125324281061742,0.009518714564617836,0.008458641411022377,0.8458641411022377
SIGMOID,0.564181923866272,1.1129001432780234,1.1209050384969133,0.008004895218889807,0.007141457076171267,0.7141457076171267
SIGMOID,0.5953117609024048,1.1107761726290768,1.1171610851615035,0.006384912532426679,0.005715301595475497,0.5715301595475497
SIGMOID,0.6264416575431824,1.1092233101640798,1.113965026640804,0.004741716476724278,0.004256611620046161,0.42566116200461607
SIGMOID,0.65757155418396,1.1080878256994113,1.1112188904332063,0.003131064733794986,0.0028176849410599444,0.2817684941059944
SIGMOID,0.6887013912200928,1.107257594420599,1.1088452690919688,0.0015876746713698875,0.0014318270687758187,0.14318270687758186
SIGMOID,0.7198312282562256,1.1066506195391062,1.1067830437546242,0.0001324242155180677,0.00011964785353851735,0.011964785353851735
SIGMOID,0.7509611248970032,1.106206755362131,1.1049830808574235,0.001223674504707617,0.00110741469793193,0.110741469793193
SIGMOID,0.782090961933136,1.1058821893391366,1.1034059084818915,0.002476280857245161,0.0022442156945236265,0.22442156945236263
SIGMOID,0.8132208585739136,1.1056449173400076,1.1020191207383274,0.0036257966016801646,0.003290139466229011,0.3290139466229011
SIGMOID,0.8443506956100464,1.1054715432420394,1.1007962018237438,0.00467534141829562,0.004247236146481746,0.4247236146481746
SIGMOID,0.8754805326461792,1.1053447406713424,1.0997149662611283,0.005629774410214061,0.005119303258511139,0.5119303258511139
SIGMOID,0.9066104292869568,1.105252039053078,1.0987573440275187,0.006494695025559327,0.005910945725061443,0.5910945725061443
SIGMOID,0.9377402663230896,1.1051842785844894,1.0979079343970215,0.00727634418746792,0.006627462977088455,0.6627462977088455
SIGMOID,0.9688701629638672,1.1051347273623457,1.097153505265046,0.007981222097299678,0.007274480789606196,0.7274480789606196
SIGMOID,1.0,1.105098529587595,1.09648335070766,0.008615178879935126,0.007857099585119074,0.7857099585119074
