activation,test_k,c,duration_s
tanh,0.6,2581.135498046875,7.082245588302612
sigmoid,0.6,2581.138916015625,6.077648639678955
relu,0.6,2581.13330078125,4.840682506561279
gelu,0.6,2581.1259765625,10.088942050933838
silu,0.6,2581.12109375,7.854798078536987
softplus,0.6,2581.138916015625,7.719086647033691
sin,0.6,2581.138916015625,5.851663589477539
arctan,0.6,2581.1376953125,7.370569467544556
